速度,馬拉松舒適指數,距離,預測人數,預測時間,Tianzhong,溫度,濕度,熱中暑危險係數,空氣品質指標,細懸浮微粒,蒲福風級,小時雨量
7.38 ,0,40500 ,996.50 ,19752.250 ,,26.9,71,34.0,57,30,2,0.0
7.03 ,0,40500 ,1494.75 ,20743.890 ,,27.7,67,34.4,60,33,2,0.0
6.37 ,0,40500 ,1993.00 ,22888.600 ,,27.7,67,34.4,60,33,2,0.0
10.27 ,0,42195 ,433.25 ,14795.010 ,group_0,25.5,76,33.1,47,28,1,0.0
9.40 ,0,42195 ,866.50 ,16151.290 ,,25.5,76,33.1,47,28,1,0.0
8.75 ,0,42195 ,1299.75 ,17352.960 ,,26.9,71,34.0,57,30,2,0.0
8.26 ,0,42195 ,1733.00 ,18395.020 ,,26.9,71,34.0,57,30,2,0.0
7.75 ,0,42195 ,502.75 ,19601.345 ,group_1,26.9,71,34.0,57,30,2,0.0
7.30 ,0,42195 ,1005.50 ,20799.560 ,,27.7,67,34.4,60,33,2,0.0
6.96 ,0,42195 ,1508.25 ,21815.690 ,,27.7,67,34.4,60,33,2,0.0
6.31 ,0,42195 ,2011.00 ,24075.720 ,,27.7,67,34.4,60,33,2,0.0
